RULESET_NAME;REQ_VALUE;EXPRESSION
AGN_ALL_3PC;1.0;(SNR_RULEB>=2.1)||(SNR_RULEG>=2.4)||(SNR_RULER>=2.8)
AGN_ALL_5PC;1.0;(SNR_RULEB>1.1)||(SNR_RULEG>1.3)||(SNR_RULER>1.5)
AGN_ALL_3PC_r220;1.0;(SNR_RULEB>=2.00000)||(SNR_RULEG>=2.28571)||(SNR_RULER>=2.66666)
AGN_ALL_3PC_r221;1.0;(SNR_RULEB>=1.82609)||(SNR_RULEG>=2.08696)||(SNR_RULER>=2.43478)
AGN_ALL_3PC_r222;1.0;(SNR_RULEB>=1.68000)||(SNR_RULEG>=1.92000)||(SNR_RULER>=2.24000)
AGN_ALL_3PC_r223;1.0;(SNR_RULEB>=1.55555)||(SNR_RULEG>=1.77778)||(SNR_RULER>=2.07407)
AGN_ALL_3PC_r224;1.0;(SNR_RULEB>=1.44828)||(SNR_RULEG>=1.65517)||(SNR_RULER>=1.93103)
AGN_ALL_3PC_r225;1.0;(SNR_RULEB>=1.35484)||(SNR_RULEG>=1.54839)||(SNR_RULER>=1.80645)
AGN_ALL_3PC_r226;1.0;(SNR_RULEB>=1.27273)||(SNR_RULEG>=1.45455)||(SNR_RULER>=1.69697)
AGN_ALL_3PC_r227;1.0;(SNR_RULEB>=1.20000)||(SNR_RULEG>=1.37143)||(SNR_RULER>=1.60000)
AGN_ALL_3PC_r228;1.0;(SNR_RULEB>=1.13513)||(SNR_RULEG>=1.29730)||(SNR_RULER>=1.51351)
AGN_ALL_3PC_r229;1.0;(SNR_RULEB>=1.07692)||(SNR_RULEG>=1.23077)||(SNR_RULER>=1.43590)
AGN_ALL_3PC_r230;1.0;(SNR_RULEB>=1.02439)||(SNR_RULEG>=1.17073)||(SNR_RULER>=1.36585)
AGN_ALL_3PC_r231;1.0;(SNR_RULEB>=0.976744)||(SNR_RULEG>=1.11628)||(SNR_RULER>=1.30233)
AGN_ALL_5PC_r220;1.0;(SNR_RULEB>=1.04762)||(SNR_RULEG>=1.23809)||(SNR_RULER>=1.42857)
AGN_ALL_5PC_r221;1.0;(SNR_RULEB>=0.956522)||(SNR_RULEG>=1.13044)||(SNR_RULER>=1.30435)
AGN_ALL_5PC_r222;1.0;(SNR_RULEB>=0.880000)||(SNR_RULEG>=1.04000)||(SNR_RULER>=1.20000)
AGN_ALL_5PC_r223;1.0;(SNR_RULEB>=0.814815)||(SNR_RULEG>=0.962963)||(SNR_RULER>=1.11111)
AGN_ALL_5PC_r224;1.0;(SNR_RULEB>=0.758620)||(SNR_RULEG>=0.896551)||(SNR_RULER>=1.03448)
AGN_ALL_5PC_r225;1.0;(SNR_RULEB>=0.709677)||(SNR_RULEG>=0.838709)||(SNR_RULER>=0.967741)
AGN_ALL_5PC_r226;1.0;(SNR_RULEB>=0.666667)||(SNR_RULEG>=0.787879)||(SNR_RULER>=0.909091)
AGN_ALL_5PC_r227;1.0;(SNR_RULEB>=0.628571)||(SNR_RULEG>=0.742857)||(SNR_RULER>=0.857143)
AGN_ALL_5PC_r228;1.0;(SNR_RULEB>=0.594594)||(SNR_RULEG>=0.702703)||(SNR_RULER>=0.810811)
AGN_ALL_5PC_r229;1.0;(SNR_RULEB>=0.564102)||(SNR_RULEG>=0.666666)||(SNR_RULER>=0.769230)
AGN_ALL_5PC_r230;1.0;(SNR_RULEB>=0.536585)||(SNR_RULEG>=0.634146)||(SNR_RULER>=0.731707)
AGN_ALL_5PC_r231;1.0;(SNR_RULEB>=0.511628)||(SNR_RULEG>=0.604651)||(SNR_RULER>=0.697675)